Month,East North Central,East South Central,Middle Atlantic,Mountain,New England,Pacific,South Atlantic,West North Central,West South Central,USA
7/1/12,164.84 ,185.96 ,196.67 ,221.75 ,201.03 ,178.69 ,186.53 ,200.17 ,202.47 ,188.43 
8/1/12,165.57 ,185.24 ,197.45 ,221.71 ,202.52 ,183.21 ,186.85 ,199.93 ,202.48 ,189.36 
9/1/12,165.64 ,184.67 ,198.94 ,224.51 ,201.56 ,183.48 ,188.18 ,199.35 ,204.12 ,190.08 
10/1/12,166.74 ,187.61 ,196.35 ,226.31 ,201.22 ,187.29 ,188.89 ,202.41 ,205.69 ,191.44 
11/1/12,165.10 ,186.44 ,199.22 ,230.75 ,203.02 ,190.80 ,190.14 ,202.64 ,206.18 ,192.52 
12/1/12,166.27 ,189.88 ,199.98 ,230.40 ,204.40 ,192.80 ,190.41 ,204.02 ,206.35 ,193.56 
1/1/13,167.43 ,189.16 ,199.59 ,233.56 ,203.57 ,195.91 ,191.77 ,203.07 ,208.66 ,194.77 
2/1/13,167.97 ,190.11 ,199.32 ,235.92 ,203.90 ,197.58 ,195.51 ,205.24 ,209.79 ,196.35 
3/1/13,171.03 ,193.23 ,201.89 ,239.57 ,206.99 ,201.97 ,197.39 ,207.06 ,210.68 ,199.02 
4/1/13,171.61 ,194.32 ,202.76 ,243.50 ,207.08 ,204.94 ,196.41 ,207.38 ,211.10 ,199.83 
5/1/13,172.68 ,192.17 ,204.09 ,243.04 ,209.66 ,207.83 ,200.70 ,207.89 ,213.73 ,201.71 
6/1/13,174.60 ,194.75 ,203.19 ,245.51 ,208.67 ,210.83 ,201.23 ,210.25 ,214.69 ,203.09 
7/1/13,175.69 ,192.89 ,204.34 ,248.58 ,210.92 ,215.01 ,203.58 ,210.28 ,214.30 ,204.56 
8/1/13,175.51 ,194.58 ,204.99 ,251.10 ,211.54 ,216.52 ,203.15 ,212.89 ,215.96 ,205.41 
9/1/13,175.17 ,198.08 ,205.11 ,251.74 ,211.56 ,217.72 ,203.33 ,212.69 ,216.48 ,205.90 
10/1/13,175.67 ,196.23 ,206.64 ,254.68 ,212.39 ,220.08 ,205.00 ,212.29 ,216.76 ,206.89 
11/1/13,175.88 ,194.38 ,205.39 ,256.28 ,211.02 ,220.27 ,204.69 ,212.29 ,217.01 ,206.70 
12/1/13,177.24 ,197.00 ,203.43 ,257.90 ,208.89 ,221.42 ,207.24 ,213.06 ,220.58 ,208.09 
1/1/14,177.47 ,198.35 ,206.00 ,259.27 ,211.05 ,223.27 ,207.91 ,215.13 ,219.89 ,209.14 
